np,threads,reps,t_local_mediana,t_local_min,t_local_max,t_total_mediana,t_total_min,t_total_max,oversubscrito
1,1,5,0.125846,0.100706,0.130322,0.130288,0.104713,0.134718,nao
1,2,5,0.100157,0.095832,0.116911,0.103923,0.099452,0.120613,nao
1,4,5,0.057163,0.055352,0.062592,0.061129,0.059039,0.067385,nao
1,8,5,0.041549,0.039157,0.049403,0.046403,0.043863,0.054250,nao
2,1,5,0.072141,0.064036,0.075903,0.077405,0.068872,0.083234,nao
2,2,5,0.063307,0.055157,0.070967,0.069666,0.060358,0.077844,nao
2,4,5,0.044511,0.038068,0.047848,0.049795,0.043441,0.053905,nao
2,8,5,0.025198,0.024441,0.027128,0.030469,0.029512,0.031840,nao
4,1,5,0.028598,0.027457,0.036072,0.034050,0.031335,0.041501,nao
4,2,5,0.036877,0.027918,0.044477,0.041082,0.030640,0.048295,nao
4,4,5,0.021699,0.020831,0.024222,0.026525,0.025896,0.030101,nao
4,8,5,0.028555,0.024756,0.029324,0.034011,0.028744,0.034779,sim
8,1,5,0.016532,0.015417,0.018769,0.019971,0.019330,0.024652,nao
8,2,5,0.019842,0.019377,0.020746,0.024372,0.023576,0.026146,nao
8,4,5,0.026170,0.021261,0.028579,0.032279,0.026208,0.034887,sim
8,8,5,0.120199,0.107099,0.131562,0.123889,0.112629,0.135846,sim
